18:57:39.401 INFO  manager.ApplicationManager - All tests rus in Chrome Browser
18:57:46.592 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Login']
18:57:46.593 INFO  manager.ListenerWD - start method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> xpath: //button[text()='Login']]
18:57:46.632 INFO  manager.ListenerWD - done method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> xpath: //button[text()='Login']]
18:57:48.209 INFO  tests.TestBase - Assert check is alert with error text 'Wrong email or password'
18:57:48.217 INFO  tests.TestBase - Name of method ---> registrationWrongEmail
18:57:48.219 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Sign Out']
18:57:53.274 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Sign Out']
18:57:53.280 INFO  tests.TestBase - Tests run with data: --->User{email='dongmail.com', password='Don123456$'}
18:57:53.280 INFO  manager.ListenerWD - Before find element: By.cssSelector: a[href='/login']
18:57:53.305 INFO  manager.ListenerWD - element found success: By.cssSelector: a[href='/login']
18:57:53.305 INFO  manager.ListenerWD - start method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> css selector: a[href='/login']]
18:57:53.354 INFO  manager.ListenerWD - done method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> css selector: a[href='/login']]
18:57:53.354 INFO  manager.HelperBase - Open form by click button with locator By.cssSelector("a[href='/login']
18:57:53.354 INFO  manager.ListenerWD - Before find element: By.name: email
18:57:53.367 INFO  manager.ListenerWD - element found success: By.name: email
18:57:53.368 INFO  manager.ListenerWD - start method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> name: email]
18:57:53.410 INFO  manager.ListenerWD - done method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> name: email]
18:57:53.631 INFO  manager.ListenerWD - Before find element: By.xpath: //input[last()]
18:57:53.653 INFO  manager.ListenerWD - element found success: By.xpath: //input[last()]
18:57:53.653 INFO  manager.ListenerWD - start method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> xpath: //input[last()]]
18:57:53.714 INFO  manager.ListenerWD - done method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> xpath: //input[last()]]
18:57:53.901 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Registration']
18:57:53.915 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Registration']
18:57:53.917 INFO  manager.ListenerWD - start method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> xpath: //button[text()='Registration']]
18:57:53.955 INFO  manager.ListenerWD - done method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> xpath: //button[text()='Registration']]
18:57:54.481 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Sign Out']
18:57:59.504 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Sign Out']
18:57:59.505 INFO  manager.ListenerWD - Before find element: By.cssSelector: a[href='/login']
18:57:59.519 INFO  manager.ListenerWD - element found success: By.cssSelector: a[href='/login']
18:57:59.519 INFO  manager.ListenerWD - start method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> css selector: a[href='/login']]
18:57:59.564 INFO  manager.ListenerWD - done method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> css selector: a[href='/login']]
18:57:59.564 INFO  manager.HelperBase - Open form by click button with locator By.cssSelector("a[href='/login']
18:57:59.564 INFO  manager.ListenerWD - Before find element: By.name: email
18:57:59.582 INFO  manager.ListenerWD - element found success: By.name: email
18:57:59.583 INFO  manager.ListenerWD - start method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> name: email]
18:57:59.620 INFO  manager.ListenerWD - done method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> name: email]
18:57:59.780 INFO  manager.ListenerWD - Before find element: By.xpath: //input[last()]
18:57:59.801 INFO  manager.ListenerWD - element found success: By.xpath: //input[last()]
18:57:59.801 INFO  manager.ListenerWD - start method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> xpath: //input[last()]]
18:57:59.845 INFO  manager.ListenerWD - done method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> xpath: //input[last()]]
18:57:59.988 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Login']
18:58:00.000 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Login']
18:58:00.000 INFO  manager.ListenerWD - start method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> xpath: //button[text()='Login']]
18:58:00.044 INFO  manager.ListenerWD - done method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> xpath: //button[text()='Login']]
18:58:00.045 INFO  tests.TestBase - Name of method ---> addContactSuccessRequiredFields
18:58:00.065 INFO  tests.TestBase - Tests run with data: --->Contact(name=TonyReq3480, lastName=Stark, email=stark3480@gmail.com, address=NY, phone=356594463480, description=null)
18:58:00.067 INFO  manager.ListenerWD - Before find element: By.cssSelector: a[href='/add']
18:58:00.349 INFO  manager.ListenerWD - element found success: By.cssSelector: a[href='/add']
18:58:00.350 INFO  manager.ListenerWD - start method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> css selector: a[href='/add']]
18:58:00.408 INFO  manager.ListenerWD - done method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> css selector: a[href='/add']]
18:58:00.409 INFO  manager.ListenerWD - Before find element: By.cssSelector: [placeholder='Name']
18:58:00.443 INFO  manager.ListenerWD - element found success: By.cssSelector: [placeholder='Name']
18:58:00.444 INFO  manager.ListenerWD - start method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> css selector: [placeholder='Name']]
18:58:00.503 INFO  manager.ListenerWD - done method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> css selector: [placeholder='Name']]
18:58:00.635 INFO  manager.ListenerWD - Before find element: By.cssSelector: [placeholder='Last Name']
18:58:00.658 INFO  manager.ListenerWD - element found success: By.cssSelector: [placeholder='Last Name']
18:58:00.659 INFO  manager.ListenerWD - start method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> css selector: [placeholder='Last Name']]
18:58:00.692 INFO  manager.ListenerWD - done method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> css selector: [placeholder='Last Name']]
18:58:00.830 INFO  manager.ListenerWD - Before find element: By.cssSelector: [placeholder='Phone']
18:58:00.845 INFO  manager.ListenerWD - element found success: By.cssSelector: [placeholder='Phone']
18:58:00.845 INFO  manager.ListenerWD - start method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> css selector: [placeholder='Phone']]
18:58:00.884 INFO  manager.ListenerWD - done method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> css selector: [placeholder='Phone']]
18:58:01.023 INFO  manager.ListenerWD - Before find element: By.cssSelector: [placeholder='email']
18:58:01.048 INFO  manager.ListenerWD - element found success: By.cssSelector: [placeholder='email']
18:58:01.048 INFO  manager.ListenerWD - start method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> css selector: [placeholder='email']]
18:58:01.084 INFO  manager.ListenerWD - done method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> css selector: [placeholder='email']]
18:58:01.224 INFO  manager.ListenerWD - Before find element: By.cssSelector: [placeholder='Address']
18:58:01.250 INFO  manager.ListenerWD - element found success: By.cssSelector: [placeholder='Address']
18:58:01.251 INFO  manager.ListenerWD - start method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> css selector: [placeholder='Address']]
18:58:01.283 INFO  manager.ListenerWD - done method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> css selector: [placeholder='Address']]
18:58:01.400 INFO  manager.ListenerWD - Before find element: By.cssSelector: [placeholder='description']
18:58:01.421 INFO  manager.ListenerWD - element found success: By.cssSelector: [placeholder='description']
18:58:01.422 INFO  manager.ListenerWD - start method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> css selector: [placeholder='description']]
18:58:01.482 INFO  manager.ListenerWD - done method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> css selector: [placeholder='description']]
18:58:01.621 INFO  manager.ListenerWD - Before find element: By.cssSelector: .add_form__2rsm2>button
18:58:01.640 INFO  manager.ListenerWD - element found success: By.cssSelector: .add_form__2rsm2>button
18:58:01.640 INFO  manager.ListenerWD - start method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> css selector: .add_form__2rsm2>button]
18:58:01.674 INFO  manager.ListenerWD - done method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> css selector: .add_form__2rsm2>button]
18:58:01.674 INFO  manager.ListenerWD - Before find element: By.cssSelector: h2
18:58:02.457 INFO  manager.ListenerWD - element found success: By.cssSelector: h2
18:58:02.474 INFO  manager.ListenerWD - get text from the element with text: TonyReq1874
18:58:02.481 INFO  manager.ListenerWD - got the text successful
18:58:02.490 INFO  manager.ListenerWD - get text from the element with text: TonyReq2611
18:58:02.499 INFO  manager.ListenerWD - got the text successful
18:58:02.512 INFO  manager.ListenerWD - get text from the element with text: TonyReq3480
18:58:02.524 INFO  manager.ListenerWD - got the text successful
18:58:02.525 INFO  manager.ListenerWD - Before find element: By.cssSelector: h3
18:58:02.543 INFO  manager.ListenerWD - element found success: By.cssSelector: h3
18:58:02.551 INFO  manager.ListenerWD - get text from the element with text: 356594461874
18:58:02.564 INFO  manager.ListenerWD - got the text successful
18:58:02.577 INFO  manager.ListenerWD - get text from the element with text: 356594462611
18:58:02.585 INFO  manager.ListenerWD - got the text successful
18:58:02.594 INFO  manager.ListenerWD - get text from the element with text: 356594463480
18:58:02.602 INFO  manager.ListenerWD - got the text successful
18:58:02.604 INFO  tests.TestBase - Name of method ---> removeOneContact
18:58:02.606 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Sign Out']
18:58:02.628 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Sign Out']
18:58:02.629 INFO  manager.ListenerWD - Before find element: By.cssSelector: .contact-item_card__2SOIM
18:58:02.650 INFO  manager.ListenerWD - element found success: By.cssSelector: .contact-item_card__2SOIM
18:58:02.650 INFO  manager.ListenerWD - Before find element: By.cssSelector: .contact-item_card__2SOIM
18:58:02.677 INFO  manager.ListenerWD - element found success: By.cssSelector: .contact-item_card__2SOIM
18:58:02.677 INFO  manager.HelperBase - Number of Contacts list before remove is --->3
18:58:02.677 INFO  manager.ListenerWD - Before find element: By.cssSelector: .contact-item_card__2SOIM
18:58:02.693 INFO  manager.ListenerWD - element found success: By.cssSelector: .contact-item_card__2SOIM
18:58:02.693 INFO  manager.ListenerWD - start method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> css selector: .contact-item_card__2SOIM]
18:58:02.735 INFO  manager.ListenerWD - done method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> css selector: .contact-item_card__2SOIM]
18:58:02.735 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Remove']
18:58:02.764 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Remove']
18:58:02.764 INFO  manager.ListenerWD - start method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> xpath: //button[text()='Remove']]
18:58:02.815 INFO  manager.ListenerWD - done method click on element[[ChromeDriver: chrome on WINDOWS (28325994e886be763febd2cb904bb5e4)] -> xpath: //button[text()='Remove']]
18:58:03.830 INFO  manager.ListenerWD - Before find element: By.cssSelector: .contact-item_card__2SOIM
18:58:03.854 INFO  manager.ListenerWD - element found success: By.cssSelector: .contact-item_card__2SOIM
18:58:03.854 INFO  manager.HelperBase - Number of Contacts list after remove is --->2
