20:18:20.453 INFO  manager.ApplicationManager - All tests rus in FIREFOX Browser
20:18:33.088 INFO  manager.ListenerWD - Before find element: By.cssSelector: a[href='/login']
20:18:33.096 INFO  manager.ListenerWD - element found success: By.cssSelector: a[href='/login']
20:18:33.097 INFO  manager.ListenerWD - start method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> css selector: a[href='/login']]
20:18:33.319 INFO  manager.ListenerWD - done method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> css selector: a[href='/login']]
20:18:33.319 INFO  manager.HelperBase - Open form by click button with locator By.cssSelector("a[href='/login']
20:18:33.319 INFO  manager.ListenerWD - Before find element: By.name: email
20:18:33.332 INFO  manager.ListenerWD - element found success: By.name: email
20:18:33.332 INFO  manager.ListenerWD - start method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> name: email]
20:18:33.555 INFO  manager.ListenerWD - done method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> name: email]
20:18:33.622 INFO  manager.ListenerWD - Before find element: By.xpath: //input[last()]
20:18:33.628 INFO  manager.ListenerWD - element found success: By.xpath: //input[last()]
20:18:33.628 INFO  manager.ListenerWD - start method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //input[last()]]
20:18:33.848 INFO  manager.ListenerWD - done method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //input[last()]]
20:18:33.915 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Login']
20:18:33.924 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Login']
20:18:33.924 INFO  manager.ListenerWD - start method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //button[text()='Login']]
20:18:34.156 INFO  manager.ListenerWD - done method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //button[text()='Login']]
20:18:34.156 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Sign Out']
20:18:34.267 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Sign Out']
20:18:34.268 INFO  tests.TestBase - Assert check is Element button 'Sign Out' present
20:18:34.269 INFO  tests.TestBase - ==========================================
20:18:34.271 INFO  tests.TestBase - Name of method ---> loginSuccessModel
20:18:34.272 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Sign Out']
20:18:34.283 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Sign Out']
20:18:34.283 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Sign Out']
20:18:34.299 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Sign Out']
20:18:34.299 INFO  manager.ListenerWD - start method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //button[text()='Sign Out']]
20:18:34.533 INFO  manager.ListenerWD - done method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //button[text()='Sign Out']]
20:18:34.533 INFO  tests.TestBase - Before method finish logout
20:18:34.533 INFO  tests.TestBase - Test data ---> User{email='sonya@gmail.com', password='Ss12345$'}
20:18:34.533 INFO  manager.ListenerWD - Before find element: By.cssSelector: a[href='/login']
20:18:34.563 INFO  manager.ListenerWD - element found success: By.cssSelector: a[href='/login']
20:18:34.564 INFO  manager.ListenerWD - start method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> css selector: a[href='/login']]
20:18:34.790 INFO  manager.ListenerWD - done method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> css selector: a[href='/login']]
20:18:34.790 INFO  manager.HelperBase - Open form by click button with locator By.cssSelector("a[href='/login']
20:18:34.790 INFO  manager.ListenerWD - Before find element: By.name: email
20:18:34.794 INFO  manager.ListenerWD - element found success: By.name: email
20:18:34.795 INFO  manager.ListenerWD - start method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> name: email]
20:18:35.024 INFO  manager.ListenerWD - done method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> name: email]
20:18:35.099 INFO  manager.ListenerWD - Before find element: By.xpath: //input[last()]
20:18:35.104 INFO  manager.ListenerWD - element found success: By.xpath: //input[last()]
20:18:35.104 INFO  manager.ListenerWD - start method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //input[last()]]
20:18:35.329 INFO  manager.ListenerWD - done method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //input[last()]]
20:18:35.392 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Login']
20:18:35.402 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Login']
20:18:35.402 INFO  manager.ListenerWD - start method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //button[text()='Login']]
20:18:35.625 INFO  manager.ListenerWD - done method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //button[text()='Login']]
20:18:35.625 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Sign Out']
20:18:35.745 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Sign Out']
20:18:35.746 INFO  tests.TestBase - Assert check is Element button 'Sign Out' present
20:18:35.750 INFO  tests.TestBase - ==========================================
20:18:35.753 INFO  tests.TestBase - Name of method ---> loginSuccessModelDP
20:18:35.754 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Sign Out']
20:18:35.759 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Sign Out']
20:18:35.759 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Sign Out']
20:18:35.774 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Sign Out']
20:18:35.775 INFO  manager.ListenerWD - start method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //button[text()='Sign Out']]
20:18:36.003 INFO  manager.ListenerWD - done method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //button[text()='Sign Out']]
20:18:36.003 INFO  tests.TestBase - Before method finish logout
20:18:36.003 INFO  tests.TestBase - Test data ---> User{email='mara@gmail.com', password='Mmar123456$'}
20:18:36.004 INFO  manager.ListenerWD - Before find element: By.cssSelector: a[href='/login']
20:18:36.007 INFO  manager.ListenerWD - element found success: By.cssSelector: a[href='/login']
20:18:36.007 INFO  manager.ListenerWD - start method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> css selector: a[href='/login']]
20:18:36.226 INFO  manager.ListenerWD - done method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> css selector: a[href='/login']]
20:18:36.226 INFO  manager.HelperBase - Open form by click button with locator By.cssSelector("a[href='/login']
20:18:36.226 INFO  manager.ListenerWD - Before find element: By.name: email
20:18:36.240 INFO  manager.ListenerWD - element found success: By.name: email
20:18:36.240 INFO  manager.ListenerWD - start method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> name: email]
20:18:36.464 INFO  manager.ListenerWD - done method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> name: email]
20:18:36.530 INFO  manager.ListenerWD - Before find element: By.xpath: //input[last()]
20:18:36.536 INFO  manager.ListenerWD - element found success: By.xpath: //input[last()]
20:18:36.536 INFO  manager.ListenerWD - start method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //input[last()]]
20:18:36.766 INFO  manager.ListenerWD - done method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //input[last()]]
20:18:36.840 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Login']
20:18:36.848 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Login']
20:18:36.848 INFO  manager.ListenerWD - start method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //button[text()='Login']]
20:18:37.072 INFO  manager.ListenerWD - done method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //button[text()='Login']]
20:18:37.072 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Sign Out']
20:18:37.203 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Sign Out']
20:18:37.204 INFO  tests.TestBase - Assert check is Element button 'Sign Out' present
20:18:37.204 INFO  tests.TestBase - ==========================================
20:18:37.204 INFO  tests.TestBase - Name of method ---> loginSuccessModelDP
20:18:37.205 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Sign Out']
20:18:37.220 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Sign Out']
20:18:37.220 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Sign Out']
20:18:37.235 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Sign Out']
20:18:37.235 INFO  manager.ListenerWD - start method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //button[text()='Sign Out']]
20:18:37.456 INFO  manager.ListenerWD - done method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //button[text()='Sign Out']]
20:18:37.456 INFO  tests.TestBase - Before method finish logout
20:18:37.456 INFO  tests.TestBase - Test data ---> User{email='sonya@gmail.com', password='Ss12345$'}
20:18:37.456 INFO  manager.ListenerWD - Before find element: By.cssSelector: a[href='/login']
20:18:37.467 INFO  manager.ListenerWD - element found success: By.cssSelector: a[href='/login']
20:18:37.468 INFO  manager.ListenerWD - start method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> css selector: a[href='/login']]
20:18:37.690 INFO  manager.ListenerWD - done method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> css selector: a[href='/login']]
20:18:37.690 INFO  manager.HelperBase - Open form by click button with locator By.cssSelector("a[href='/login']
20:18:37.690 INFO  manager.ListenerWD - Before find element: By.name: email
20:18:37.700 INFO  manager.ListenerWD - element found success: By.name: email
20:18:37.700 INFO  manager.ListenerWD - start method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> name: email]
20:18:37.922 INFO  manager.ListenerWD - done method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> name: email]
20:18:37.990 INFO  manager.ListenerWD - Before find element: By.xpath: //input[last()]
20:18:37.995 INFO  manager.ListenerWD - element found success: By.xpath: //input[last()]
20:18:37.996 INFO  manager.ListenerWD - start method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //input[last()]]
20:18:38.220 INFO  manager.ListenerWD - done method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //input[last()]]
20:18:38.312 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Login']
20:18:38.321 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Login']
20:18:38.321 INFO  manager.ListenerWD - start method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //button[text()='Login']]
20:18:38.546 INFO  manager.ListenerWD - done method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //button[text()='Login']]
20:18:38.546 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Sign Out']
20:18:38.708 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Sign Out']
20:18:38.708 INFO  tests.TestBase - Assert check is Element button 'Sign Out' present
20:18:38.709 INFO  tests.TestBase - ==========================================
20:18:38.709 INFO  tests.TestBase - Name of method ---> loginSuccessModelDP
20:18:38.710 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Sign Out']
20:18:38.725 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Sign Out']
20:18:38.725 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Sign Out']
20:18:38.740 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Sign Out']
20:18:38.740 INFO  manager.ListenerWD - start method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //button[text()='Sign Out']]
20:18:38.960 INFO  manager.ListenerWD - done method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //button[text()='Sign Out']]
20:18:38.961 INFO  tests.TestBase - Before method finish logout
20:18:38.961 INFO  tests.TestBase - Test data ---> User{email='mara@gmail.com', password='Mmar123456$'}
20:18:38.961 INFO  manager.ListenerWD - Before find element: By.cssSelector: a[href='/login']
20:18:38.970 INFO  manager.ListenerWD - element found success: By.cssSelector: a[href='/login']
20:18:38.970 INFO  manager.ListenerWD - start method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> css selector: a[href='/login']]
20:18:39.193 INFO  manager.ListenerWD - done method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> css selector: a[href='/login']]
20:18:39.193 INFO  manager.HelperBase - Open form by click button with locator By.cssSelector("a[href='/login']
20:18:39.193 INFO  manager.ListenerWD - Before find element: By.name: email
20:18:39.202 INFO  manager.ListenerWD - element found success: By.name: email
20:18:39.203 INFO  manager.ListenerWD - start method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> name: email]
20:18:39.433 INFO  manager.ListenerWD - done method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> name: email]
20:18:39.508 INFO  manager.ListenerWD - Before find element: By.xpath: //input[last()]
20:18:39.528 INFO  manager.ListenerWD - element found success: By.xpath: //input[last()]
20:18:39.528 INFO  manager.ListenerWD - start method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //input[last()]]
20:18:39.753 INFO  manager.ListenerWD - done method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //input[last()]]
20:18:39.816 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Login']
20:18:39.823 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Login']
20:18:39.824 INFO  manager.ListenerWD - start method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //button[text()='Login']]
20:18:40.046 INFO  manager.ListenerWD - done method click on element[[FirefoxDriver: firefox on WINDOWS (20e23c07-ef1e-48d0-a4e9-a605ba60e179)] -> xpath: //button[text()='Login']]
20:18:40.046 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Sign Out']
20:18:40.194 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Sign Out']
20:18:40.195 INFO  tests.TestBase - Assert check is Element button 'Sign Out' present
20:18:40.195 INFO  tests.TestBase - ==========================================
20:18:40.196 INFO  tests.TestBase - Name of method ---> loginUnregisteredUser
20:18:40.196 INFO  manager.ListenerWD - Before find element: By.xpath: //button[text()='Sign Out']
